Crassostrea gigas	29159	24
Branchiostoma floridae	7739	22
Gigantopelta aegis	1735272	21
Crassostrea virginica	6565	20
Salmo trutta	8032	19
Carassius auratus	7957	15
Coregonus clupeaformis	59861	13
Patella vulgata	6465	13
Acipenser ruthenus	7906	13
Salmo salar	8030	12
Pecten maximus	6579	12
Octopus sinensis	2607531	12
Pomacea canaliculata	400727	11
Petromyzon marinus	7757	10
Esox lucius	8010	10
Octopus bimaculoides	37653	10
Chanos chanos	29144	10
Anguilla anguilla	7936	10
Polyodon spathula	7913	9
Micropterus dolomieu	147949	9
Salvelinus namaycush	8040	9
Cyprinus carpio	7962	9
Oncorhynchus kisutch	8019	9
Oncorhynchus tshawytscha	74940	8
Megalops cyprinoides	118141	8
Gasterosteus aculeatus aculeatus	69293	8
Anabas testudineus	64144	8
Sander lucioperca	283035	8
Oncorhynchus mykiss	8022	8
Tachysurus fulvidraco	1234273	8
Fundulus heteroclitus	8078	8
Ictalurus punctatus	7998	8
Oncorhynchus gorbuscha	8017	8
Mastacembelus armatus	205130	7
Brienomyrus brachyistius	42636	7
Lates calcarifer	8187	7
Hypomesus transpacificus	137520	7
Gambusia affinis	33528	7
Girardinichthys multiradiatus	208333	7
Oreochromis niloticus	8128	7
Erpetoichthys calabaricus	27687	7
Etheostoma cragini	417921	7
Etheostoma spectabile	54343	7
Melanotaenia boesemani	1250792	7
Oreochromis aureus	47969	7
Kryptolebias marmoratus	37003	7
Salvelinus sp. IW2-2015	2691554	7
Xiphophorus maculatus	8083	7
Xiphophorus hellerii	8084	7
Solea senegalensis	28829	7
Sparus aurata	8175	7
Thunnus maccoyii	8240	7
Thunnus albacares	8236	7
Archocentrus centrarchus	63155	7
Betta splendens	158456	7
Oncorhynchus nerka	8023	6
Astyanax mexicanus	7994	6
Cottoperca gobio	56716	6
Perca fluviatilis	8168	6
Siniperca chuatsi	119488	6
Perca flavescens	8167	6
Cyclopterus lumpus	8103	6
Epinephelus moara	300413	6
Epinephelus fuscoguttatus	293821	6
Epinephelus lanceolatus	310571	6
Silurus meridionalis	175797	6
Xenopus tropicalis	8364	6
Amblyraja radiata	386614	6
Alosa sapidissima	34773	6
Xiphias gladius	8245	6
Megalobrama amblycephala	75352	6
Gouania willdenowi	441366	6
Xiphophorus couchianus	32473	6
Larimichthys crocea	215358	6
Plectropomus leopardus	160734	6
Ovis aries	9940	6
Acanthopagrus latus	8177	6
Sebastes umbrosus	72105	6
Polypterus senegalus	55291	6
Scophthalmus maximus	52904	6
Puntigrus tetrazona	1606681	6
Cervus elaphus	9860	6
Salarias fasciatus	181472	6
Bubalus bubalis	89462	6
Cervus canadensis	1574408	6
Cheilinus undulatus	241271	6
Protopterus annectens	7888	6
Hippoglossus hippoglossus	8267	5
Bos indicus x Bos taurus	30522	5
Dermochelys coriacea	27794	5
Oryzias melastigma	30732	5
Sus scrofa	9823	5
Thalassophryne amazonica	390379	5
Thamnophis elegans	35005	5
Bos indicus	9915	5
Echeneis naucrates	173247	5
Myripristis murdjan	586833	5
Camelus ferus	419612	5
Alosa alosa	278164	5
Scleropages formosus	113540	5
Mugil cephalus	48193	5
Toxotes jaculatrix	941984	5
Gadus morhua	8049	5
Pan paniscus	9597	5
Bos taurus	9913	5
Geotrypetes seraphini	260995	5
Hippoglossus stenolepis	195615	5
Scatophagus argus	75038	5
Chelonia mydas	8469	5
Notolabrus celidotus	1203425	5
Clupea harengus	7950	5
Phacochoerus africanus	41426	5
Parambassis ranga	210632	5
Cynoglossus semilaevis	244447	5
Capra hircus	9925	5
Sphaeramia orbicularis	375764	5
Periophthalmus magnuspinnatus	409849	5
Danio rerio	7955	5
Papio anubis	9555	5
Scyliorhinus canicula	7830	5
Choloepus didactylus	27675	5
Peromyscus leucopus	10041	4
Rhincodon typus	259920	4
Vulpes lagopus	494514	4
Tursiops truncatus	9739	4
Perognathus longimembris pacificus	38669	4
Meles meles	9662	4
Microcaecilia unicolor	1415580	4
Rhinopithecus roxellana	61622	4
Maylandia zebra	106582	4
Peromyscus maniculatus bairdii	10042	4
Jaculus jaculus	51337	4
Trichosurus vulpecula	9337	4
Sarcophilus harrisii	9305	4
Macaca mulatta	9544	4
Macaca fascicularis	9541	4
Lutra lutra	9657	4
Phocoena sinus	42100	4
Leopardus geoffroyi	46844	4
Lemur catta	9447	4
Piliocolobus tephrosceles	591936	4
Poecilia reticulata	8081	4
Zalophus californianus	9704	4
Microcebus murinus	30608	4
Pan troglodytes	9598	4
Pongo abelii	9601	4
Rhinatrema bivittatum	194408	4
Panthera tigris	9694	4
Oryzias latipes	8090	4
Sphaerodactylus townsendi	933632	4
Stegostoma fasciatum	378071	4
Orcinus orca	9733	4
Onychomys torridus	38674	4
Suncus etruscus	109475	4
Pseudochaenichthys georgianus	52239	4
Suricata suricatta	37032	4
Syngnathus acus	161584	4
Panthera uncia	29064	4
Nothobranchius furzeri	105023	4
Nomascus leucogenys	61853	4
Neosciurus carolinensis	30640	4
Neomonachus schauinslandi	29088	4
Neogale vison	452646	4
Nematolebias whitei	451745	4
Mustela erminea	36723	4
Prionailurus viverrinus	61388	4
Pygocentrus nattereri	42514	4
Prionailurus bengalensis	37029	4
Monodelphis domestica	13616	4
Microtus ochrogaster	79684	4
Theropithecus gelada	9565	4
Panthera leo	9689	4
Rana temporaria	8407	4
Lynx canadensis	61383	4
Gorilla gorilla gorilla	9593	4
Daphnia pulicaria	35523	4
Equus quagga	89248	4
Gracilinanus agilis	191870	4
Canis lupus familiaris	9612	4
Canis lupus dingo	9612	4
Camelus dromedarius	9838	4
Cricetulus griseus	10029	4
Equus caballus	9796	4
Callithrix jacchus	9483	4
Daphnia magna	35525	4
Felis catus	9685	4
Equus asinus	9793	4
Denticeps clupeoides	299321	4
Caretta caretta	8467	4
Balaenoptera musculus	9771	4
Chelmon rostratus	109905	4
Astatotilapia calliptera	8154	4
Arvicola amphibius	1047088	4
Elephas maximus indicus	9783	4
Electrophorus electricus	8005	4
Chiloscyllium plagiosum	36176	4
Homo sapiens	9606	4
Dromiciops gliroides	33562	4
Ailuropoda melanoleuca	9646	4
Ictidomys tridecemlineatus	43179	4
Carcharodon carcharias	13397	4
Daphnia pulex	6669	3
Diprion similis	362088	3
Ornithorhynchus anatinus	9258	3
Ochotona princeps	9978	3
Phyllostomus discolor	89673	3
Ischnura elegans	197161	3
Chrysemys picta bellii	8479	3
Bradysia coprophila	38358	3
Acropora millepora	45264	3
Anolis carolinensis	28377	3
Takifugu rubripes	31033	3
Tachyglossus aculeatus	9261	3
Arvicanthis niloticus	61156	3
Sceloporus undulatus	8520	3
Bufo bufo	8384	3
Podarcis muralis	64176	3
Rhipicephalus sanguineus	34632	3
Bufo gargarizans	30331	3
Rhinolophus ferrumequinum	59479	3
Rattus rattus	10117	3
Rattus norvegicus	10116	3
Neodiprion pinetum	441929	3
Neodiprion virginianus	2961670	3
Zootoca vivipara	8524	3
Neodiprion lecontei	441921	3
Lepisosteus oculatus	7918	3
Mus musculus	10090	3
Mus caroli	10089	3
Monomorium pharaonis	307658	3
Nematostella vectensis	45351	3
Neodiprion fabricii	2872261	3
Manduca sexta	7130	3
Mus pahari	10093	3
Gopherus evgoodei	1825980	3
Mauremys reevesii	260615	3
Mauremys mutica	74926	3
Lacerta agilis	80427	3
Mastomys coucha	35658	3
Lepeophtheirus salmonis	72036	2
Schistocerca cancellata	274614	2
Bactrocera dorsalis	27457	2
Bactrocera neohumeralis	98809	2
Bactrocera tryoni	59916	2
Schistocerca serialis cubense	2023354	2
Schistocerca piceifrons	274613	2
Schistocerca nitens	7011	2
Schistocerca gregaria	7010	2
Aythya fuligula	219594	2
Belonocnema kinseyi	2817044	2
Schistocerca americana	7009	2
Lonchura striata domestica	40157	2
Lucilia cuprina	7375	2
Hirundo rustica	43150	2
Bombus huntii	85661	2
Bombus pyrosoma	396416	2
Bombus terrestris	30195	2
Bombyx mori	7091	2
Hermetia illucens	343691	2
Accipiter gentilis	8957	2
Helicoverpa zea	7113	2
Rhipicephalus microplus	6941	2
Helicoverpa armigera	29058	2
Caenorhabditis briggsae	6238	2
Maniola hyperantus	2795564	2
Solenopsis invicta	13686	2
Spodoptera litura	69820	2
Aricia agestis	91739	2
Anopheles arabiensis	7173	2
Zerene cesonia	33412	2
Aedes aegypti	7159	2
Aethina tumida	116153	2
Lagopus muta	64668	2
Anas platyrhynchos	8839	2
Xenopus laevis	8355	2
Hydra vulgaris	6087	2
Venturia canescens	32260	2
Vanessa cardui	171605	2
Vanessa atalanta	42275	2
Anopheles aquasalis	42839	2
Trichoplusia ni	7111	2
Tribolium castaneum	7070	2
Trachemys scripta elegans	34903	2
Anopheles coluzzii	1518534	2
Aquila chrysaetos chrysaetos	8962	2
Anopheles darlingi	43151	2
Anopheles funestus	62324	2
Anopheles gambiae str. PEST	7165	2
Anopheles maculipalpis	1496333	2
Teleopsis dalmanni	139649	2
Leguminivora glycinivorella	1035111	2
Taeniopygia guttata	59729	2
Anopheles merus	30066	2
Anopheles stephensi	30069	2
Anthonomus grandis grandis	7044	2
Aphidius gifuensis	684658	2
Strongyloides ratti	34506	2
Apis mellifera	7460	2
Spodoptera frugiperda	7108	2
Maniola jurtina	191418	2
Harmonia axyridis	115357	2
Calypte anna	9244	2
Dermacentor silvarum	543639	2
Drosophila ananassae	7217	2
Drosophila albomicans	7291	2
Drosophila yakuba	7245	2
Nasonia vitripennis	7425	2
Diabrotica virgifera virgifera	50389	2
Osmia bicornis bicornis	1437190	2
Oxyura jamaicensis	8884	2
Parus major	9157	2
Motacilla alba alba	45807	2
Danaus plexippus plexippus	13037	2
Papilio machaon	76193	2
Camarhynchus parvulus	87175	2
Cygnus olor	8869	2
Cygnus atratus	8868	2
Ooceraea biroi	2015173	2
Drosophila busckii	30019	2
Drosophila innubila	198719	2
Drosophila mauritiana	7226	2
Drosophila melanogaster	7227	2
Drosophila miranda	7229	2
Drosophila pseudoobscura	7237	2
Drosophila santomea	129105	2
Drosophila sechellia	7238	2
Nymphalis io	171585	2
Numida meleagris	8996	2
Drosophila simulans	7240	2
Drosophila subobscura	7241	2
Drosophila subpulchrella	1486046	2
Drosophila suzukii	28584	2
Drosophila teissieri	7243	2
Drosophila willistoni	7260	2
Pararge aegeria	116150	2
Corvus cornix cornix	181096	2
Culex quinquefasciatus	7176	2
Coccinella septempunctata	41139	2
Gallus gallus	9031	2
Cataglyphis hispanica	1086592	2
Catharus ustulatus	91951	2
Meleagris gallopavo	9103	2
Ficedula albicollis	59894	2
Chiroxiphia lanceolata	296741	2
Melitaea cinxia	113334	2
Plutella xylostella	51655	2
Melopsittacus undulatus	13146	2
Culex pipiens pallens	7175	2
Pieris napi	78633	2
Pieris brassicae	7116	2
Falco rusticolus	120794	2
Pieris rapae	64459	2
Falco naumanni	148594	2
Corvus hawaiiensis	134902	2
Corvus moneduloides	1196302	2
Cotesia glomerata	32391	2
Pectinophora gossypiella	13191	2
Coturnix japonica	93934	2
Molothrus ater	84834	2
Colias croceus	72248	2
Ciona intestinalis	7719	1
Aphis gossypii	80765	1
Procambarus clarkii	6728	1
Acyrthosiphon pisum	7029	1
Portunus trituberculatus	210409	1
Nilaparvata lugens	108931	1
Penaeus chinensis	139456	1
Penaeus monodon	6687	1
Vespa crabro	7445	1
Rhopalosiphum maidis	43146	1
Vespula pensylvanica	30213	1
Vespa velutina	202808	1
Athalia rosae	37344	1
Anopheles albimanus	7167	1
Homalodisca vitripennis	197043	1
Chrysoperla carnea	189513	1
Strigops habroptila	2489341	1
